OCCURRED NIGHT,UCR CRIME CATEGORY NIGHT,PREMISE TYPE NIGHT,OCCURRED DAY,UCR CRIME CATEGORY DAY,PREMISE TYPE DAY
01/03/2024 21:25,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK,01/04/2023 12:55,BURGLARY,SINGLE FAMILY HOUSE
01/03/2024 21:30,LARCENY-THEFT,OTHER,01/04/2023 13:00,DRUG OFFENSE,ALLEY
01/03/2024 21:50,LARCENY-THEFT,WAREHOUSE / FACTORY,01/04/2023 13:07,LARCENY-THEFT,VEHICLE
01/03/2024 22:00,LARCENY-THEFT,MOBILE HOME,01/04/2023 13:10,LARCENY-THEFT,RETAIL BUSINESS
01/03/2024 22:00,MOTOR VEHICLE THEFT,APARTMENT,01/04/2023 13:11,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 22:28,BURGLARY,GARAGE,01/04/2023 13:25,LARCENY-THEFT,GARAGE / CARPORT
01/03/2024 22:30,ROBBERY,STREET / ROADWAY / SIDEWALK,01/04/2023 13:31,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/03/2024 23:00,MOTOR VEHICLE THEFT,APARTMENT,01/04/2023 13:47,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 23:00,LARCENY-THEFT,VEHICLE,01/04/2023 14:00,LARCENY-THEFT,PARKING LOT
01/03/2024 23:00,LARCENY-THEFT,PARKING LOT,01/04/2023 14:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD
01/04/2024 0:00,BURGLARY,APARTMENT,01/04/2023 14:06,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/04/2024 0:00,DRUG OFFENSE,GAS / SERVICE STATION,01/04/2023 14:07,AGGRAVATED ASSAULT,RESTAURANT
01/04/2024 0:00,LARCENY-THEFT,APARTMENT,01/04/2023 14:20,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/04/2024 0:00,LARCENY-THEFT,VEHICLE,01/04/2023 14:25,LARCENY-THEFT,OTHER
01/04/2024 0:00,LARCENY-THEFT,OTHER,01/04/2023 14:30,LARCENY-THEFT,VEHICLE
01/04/2024 0:00,BURGLARY,APARTMENT,01/04/2023 14:40,LARCENY-THEFT,VEHICLE
01/04/2024 0:00,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/04/2023 14:44,LARCENY-THEFT,APARTMENT
01/04/2024 0:00,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/04/2023 15:00,BURGLARY,SINGLE FAMILY HOUSE
01/04/2024 0:00,LARCENY-THEFT,PARKING LOT,01/04/2023 15:05,LARCENY-THEFT,SCHOOL/COLLEGE/CHILD CARE
01/04/2024 0:00,LARCENY-THEFT,SPECIALTY STORE,01/04/2023 15:20,LARCENY-THEFT,SPECIALTY STORE
01/04/2024 0:00,LARCENY-THEFT,VEHICLE,01/04/2023 15:20,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/04/2024 0:00,LARCENY-THEFT,UNKNOWN,01/04/2023 15:38,LARCENY-THEFT,APARTMENT
01/04/2024 0:00,LARCENY-THEFT,UNKNOWN,01/04/2023 15:50,ARSON,
01/04/2024 0:00,DRUG OFFENSE,SHELTER-MISSION/HOMELESS,01/04/2023 15:52,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/04/2024 0:01,LARCENY-THEFT,HOSPITAL,01/04/2023 16:00,LARCENY-THEFT,PARKING LOT
01/04/2024 1:00,LARCENY-THEFT,CONDO / TOWNHOUSE,01/04/2023 16:00,BURGLARY,GARAGE
01/04/2024 1:00,RAPE,CONDO / TOWNHOUSE,01/04/2023 16:00,MOTOR VEHICLE THEFT,APARTMENT
01/04/2024 1:15,ROBBERY,APARTMENT,01/04/2023 16:00,LARCENY-THEFT,STOREROOM/SHED (RESIDENTIAL)
01/04/2024 1:24,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/04/2023 16:21,DRUG OFFENSE,PARKING LOT
01/04/2024 1:30,LARCENY-THEFT,APARTMENT,01/04/2023 16:30,BURGLARY,APARTMENT
01/04/2024 1:30,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE,01/04/2023 16:30,LARCENY-THEFT,SPECIALTY STORE
01/04/2024 1:52,DRUG OFFENSE,PARKING LOT,01/04/2023 16:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/04/2024 2:10,LARCENY-THEFT,VEHICLE,01/04/2023 16:47,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 2:15,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/04/2023 16:55,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/04/2024 2:20,BURGLARY,OFFICE / COMMERCIAL BUILDING,01/05/2023 8:50,BURGLARY,SINGLE FAMILY HOUSE
01/04/2024 2:45,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/05/2023 8:50,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/04/2024 2:52,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/05/2023 8:55,LARCENY-THEFT,VEHICLE
01/04/2024 2:56,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK,01/05/2023 9:00,LARCENY-THEFT,APARTMENT
01/04/2024 3:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/05/2023 9:33,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/04/2024 3:00,LARCENY-THEFT,APARTMENT,01/05/2023 9:45,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/04/2024 3:25,ARSON,APARTMENT,01/05/2023 9:47,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/04/2024 3:25,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/05/2023 9:50,DRUG OFFENSE,VEHICLE
01/04/2024 4:00,LARCENY-THEFT,PARKING LOT,01/05/2023 10:00,LARCENY-THEFT,AIRPORT
01/04/2024 4:16,DRUG OFFENSE,PARKING LOT,01/05/2023 10:00,LARCENY-THEFT,CONDO / TOWNHOUSE
01/04/2024 20:00,BURGLARY,SPECIALTY STORE,01/05/2023 10:30,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 20:00,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE,01/05/2023 10:30,LARCENY-THEFT,GROCERY / SUPER MARKET
01/04/2024 20:00,BURGLARY,STOREROOM/SHED (COMMERCIAL),01/05/2023 10:34,LARCENY-THEFT,DRIVEWAY
01/04/2024 20:00,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE,01/05/2023 10:51,LARCENY-THEFT,SPECIALTY STORE
01/04/2024 20:21,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/05/2023 10:53,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 20:41,BURGLARY,DEPARTMENT / DISCOUNT STORE,01/05/2023 11:00,LARCENY-THEFT,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE
01/04/2024 21:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK,01/05/2023 11:30,AGGRAVATED ASSAULT,BUS STOP
01/04/2024 21:00,LARCENY-THEFT,PARKING LOT,01/05/2023 11:56,RAPE,APARTMENT
01/04/2024 21:00,LARCENY-THEFT,PARKING GARAGE,01/05/2023 11:59,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 21:00,LARCENY-THEFT,SPECIALTY STORE,01/05/2023 12:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/04/2024 21:13,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/05/2023 12:00,LARCENY-THEFT,HOTEL / MOTEL
01/04/2024 21:52,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/05/2023 12:30,LARCENY-THEFT,FENCED RESIDENTIAL YARD
01/04/2024 22:00,LARCENY-THEFT,DRIVEWAY,01/05/2023 12:50,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 22:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/05/2023 13:00,LARCENY-THEFT,APARTMENT
01/04/2024 22:00,BURGLARY,CONSTRUCTION SITE,01/05/2023 13:29,AGGRAVATED ASSAULT,FAST FOOD STORE
01/04/2024 22:29,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/05/2023 13:35,LARCENY-THEFT,STREET / ROADWAY / ALLEY / SIDEWALK
01/04/2024 22:30,LARCENY-THEFT,VEHICLE,01/05/2023 13:35,LARCENY-THEFT,STREET / ROADWAY / ALLEY / SIDEWALK
01/04/2024 22:30,BURGLARY,FAST FOOD STORE,01/05/2023 13:35,LARCENY-THEFT,PARKING LOT
01/04/2024 22:50,AGGRAVATED ASSAULT,CONVENIENCE MARKET / STORE,01/05/2023 13:48,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 23:00,MOTOR VEHICLE THEFT,DRIVEWAY,01/05/2023 13:59,ROBBERY,PARKING LOT
01/04/2024 23:00,LARCENY-THEFT,PARKING LOT,01/05/2023 14:00,BURGLARY,SINGLE FAMILY HOUSE
01/04/2024 23:00,MOTOR VEHICLE THEFT,DRIVEWAY,01/05/2023 14:10,LARCENY-THEFT,GOVERNMENT / PUBLIC BUILDING
01/04/2024 23:00,MOTOR VEHICLE THEFT,APARTMENT,01/05/2023 14:12,DRUG OFFENSE,ALLEY
01/04/2024 23:00,LARCENY-THEFT,VEHICLE,01/05/2023 14:25,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 23:00,AGGRAVATED ASSAULT,APARTMENT,01/05/2023 14:30,LARCENY-THEFT,RETAIL BUSINESS
01/04/2024 23:00,LARCENY-THEFT,PARKING LOT,01/05/2023 15:10,DRUG OFFENSE,VEHICLE
01/04/2024 23:30,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE,01/05/2023 15:15,LARCENY-THEFT,APARTMENT
01/04/2024 23:50,LARCENY-THEFT,PARKING LOT,01/05/2023 15:20,LARCENY-THEFT,SPECIALTY STORE
01/04/2024 23:52,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK,01/05/2023 15:23,LARCENY-THEFT,PARKING GARAGE
01/05/2024 0:00,LARCENY-THEFT,SPECIALTY STORE,01/05/2023 15:30,MOTOR VEHICLE THEFT,CONDO / TOWNHOUSE
01/05/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE,01/05/2023 15:35,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/05/2024 0:00,LARCENY-THEFT,AIRPORT,01/05/2023 15:45,MOTOR VEHICLE THEFT,RESTAURANT
01/05/2024 0:00,LARCENY-THEFT,AIRPORT,01/05/2023 15:50,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/05/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/05/2023 16:00,LARCENY-THEFT,CONSTRUCTION SITE
01/05/2024 0:00,LARCENY-THEFT,UNKNOWN,01/05/2023 16:00,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/05/2024 0:00,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/05/2023 16:00,BURGLARY,APARTMENT
01/05/2024 0:00,DRUG OFFENSE,OFFICE / COMMERCIAL BUILDING,01/05/2023 16:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/05/2024 0:00,DRUG OFFENSE,VEHICLE,01/05/2023 16:17,LARCENY-THEFT,DRUG STORE
01/05/2024 0:00,BURGLARY,CONSTRUCTION SITE,01/05/2023 16:30,LARCENY-THEFT,PARKING GARAGE
01/05/2024 0:00,RAPE,SINGLE FAMILY HOUSE,01/05/2023 16:41,DRUG OFFENSE,PARKING LOT
01/05/2024 0:00,LARCENY-THEFT,PARKING LOT,01/05/2023 16:45,BURGLARY,STOREROOM/SHED (COMMERCIAL)
01/05/2024 0:00,DRUG OFFENSE,GAS / SERVICE STATION,01/06/2023 8:15,MOTOR VEHICLE THEFT,HOTEL / MOTEL
01/05/2024 0:00,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING,01/06/2023 8:16,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/05/2024 0:00,BURGLARY,CONSTRUCTION SITE,01/06/2023 8:30,BURGLARY,SINGLE FAMILY HOUSE
01/05/2024 0:00,DRUG OFFENSE,PARKING LOT,01/06/2023 8:48,LARCENY-THEFT,CONSTRUCTION SITE
01/05/2024 0:00,LARCENY-THEFT,DRIVEWAY,01/06/2023 9:00,LARCENY-THEFT,APARTMENT
01/05/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE,01/06/2023 9:17,DRUG OFFENSE,PARKING LOT
01/05/2024 0:00,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/06/2023 9:30,AGGRAVATED ASSAULT,APARTMENT
01/05/2024 0:01,LARCENY-THEFT,FENCED COMMERCIAL YARD,01/06/2023 9:30,MOTOR VEHICLE THEFT,APARTMENT
01/05/2024 0:01,LARCENY-THEFT,APARTMENT,01/06/2023 9:38,LARCENY-THEFT,DRUG STORE
01/05/2024 0:01,AGGRAVATED ASSAULT,APARTMENT,01/06/2023 9:56,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/05/2024 0:30,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/06/2023 9:59,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/05/2024 1:00,MOTOR VEHICLE THEFT,APARTMENT,01/06/2023 10:00,LARCENY-THEFT,OTHER
01/05/2024 1:01,LARCENY-THEFT,DRIVEWAY,01/06/2023 10:34,LARCENY-THEFT,RETAIL BUSINESS
01/05/2024 1:30,LARCENY-THEFT,PARKING LOT,01/06/2023 10:35,LARCENY-THEFT,PARKING LOT
01/05/2024 1:34,DRUG OFFENSE,BUS STOP,01/06/2023 10:40,DRUG OFFENSE,RETAIL BUSINESS
01/05/2024 2:00,MOTOR VEHICLE THEFT,APARTMENT,01/06/2023 10:57,DRUG OFFENSE,ALLEY
01/05/2024 2:00,LARCENY-THEFT,APARTMENT,01/06/2023 11:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/05/2024 3:00,BURGLARY,DEPARTMENT / DISCOUNT STORE,01/06/2023 11:20,BURGLARY,SINGLE FAMILY HOUSE
01/05/2024 3:00,LARCENY-THEFT,SPECIALTY STORE,01/06/2023 11:25,BURGLARY,APARTMENT
01/05/2024 3:00,LARCENY-THEFT,APARTMENT,01/06/2023 11:30,LARCENY-THEFT,CONDO / TOWNHOUSE
01/05/2024 3:36,BURGLARY,OFFICE / COMMERCIAL BUILDING,01/06/2023 12:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/05/2024 3:59,MOTOR VEHICLE THEFT,UNKNOWN,01/06/2023 12:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/05/2024 4:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/06/2023 12:00,LARCENY-THEFT,PARKING LOT
01/05/2024 4:30,BURGLARY,APARTMENT,01/06/2023 12:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/05/2024 4:56,MOTOR VEHICLE THEFT,HOTEL / MOTEL,01/06/2023 12:00,MOTOR VEHICLE THEFT,OPEN SPACE / DESERT
01/05/2024 20:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/06/2023 12:27,LARCENY-THEFT,GROCERY / SUPER MARKET
01/05/2024 20:00,BURGLARY,SINGLE FAMILY HOUSE,01/06/2023 12:37,ARSON,
01/05/2024 20:00,LARCENY-THEFT,OTHER,01/06/2023 13:00,LARCENY-THEFT,RETAIL BUSINESS
01/05/2024 20:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/06/2023 13:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/05/2024 20:24,AGGRAVATED ASSAULT,APARTMENT,01/06/2023 13:15,LARCENY-THEFT,FENCED RESIDENTIAL YARD
01/05/2024 21:00,MOTOR VEHICLE THEFT,GROCERY / SUPER MARKET,01/06/2023 13:33,DRUG OFFENSE,OFFICE / COMMERCIAL BUILDING
01/05/2024 21:00,MOTOR VEHICLE THEFT,APARTMENT,01/06/2023 13:40,ROBBERY,STREET / ROADWAY / SIDEWALK
01/05/2024 21:00,MOTOR VEHICLE THEFT,APARTMENT,01/06/2023 14:00,MOTOR VEHICLE THEFT,HOTEL / MOTEL
01/05/2024 21:00,LARCENY-THEFT,PARKING LOT,01/06/2023 14:00,DRUG OFFENSE,FAST FOOD STORE
01/05/2024 21:00,LARCENY-THEFT,PARKING LOT,01/06/2023 14:00,LARCENY-THEFT,PARKING LOT
01/05/2024 21:00,LARCENY-THEFT,VEHICLE,01/06/2023 14:29,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/05/2024 21:01,AGGRAVATED ASSAULT,APARTMENT,01/06/2023 15:00,LARCENY-THEFT,SPECIALTY STORE
01/05/2024 21:08,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/06/2023 15:00,LARCENY-THEFT,STREET / ROADWAY / ALLEY / SIDEWALK
01/05/2024 21:30,MOTOR VEHICLE THEFT,APARTMENT,01/06/2023 15:00,LARCENY-THEFT,STREET / ROADWAY / ALLEY / SIDEWALK
01/05/2024 21:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/06/2023 15:00,BURGLARY,SINGLE FAMILY HOUSE
01/05/2024 21:54,AGGRAVATED ASSAULT,VEHICLE,01/06/2023 15:00,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE
01/05/2024 22:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD,01/06/2023 15:01,LARCENY-THEFT,PARKING LOT
01/05/2024 22:03,BURGLARY,SCHOOL-ELEMENTARY/SECONDARY,01/06/2023 15:05,MOTOR VEHICLE THEFT,RESTAURANT
01/05/2024 22:12,ARSON,SINGLE FAMILY HOUSE,01/06/2023 15:08,LARCENY-THEFT,APARTMENT
01/05/2024 22:42,ROBBERY,STREET / ROADWAY / SIDEWALK,01/06/2023 15:08,LARCENY-THEFT,HOTEL / MOTEL
01/05/2024 22:55,BURGLARY,CONVENIENCE MARKET / STORE,01/06/2023 15:12,BURGLARY,SINGLE FAMILY HOUSE
01/05/2024 23:00,LARCENY-THEFT,APARTMENT,01/06/2023 15:12,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/05/2024 23:00,LARCENY-THEFT,VEHICLE,01/06/2023 15:25,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/05/2024 23:30,LARCENY-THEFT,VEHICLE,01/06/2023 15:29,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/05/2024 23:45,LARCENY-THEFT,VEHICLE,01/06/2023 15:36,LARCENY-THEFT,FAST FOOD STORE
01/06/2024 0:00,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK,01/06/2023 15:41,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/06/2024 0:00,DRUG OFFENSE,PARKING LOT,01/06/2023 16:00,LARCENY-THEFT,MOBILE HOME
01/06/2024 0:00,LARCENY-THEFT,VEHICLE,01/06/2023 16:00,LARCENY-THEFT,PARKING LOT
01/06/2024 0:00,LARCENY-THEFT,PARKING LOT,01/06/2023 16:11,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/06/2024 0:00,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING,01/06/2023 16:18,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/06/2024 0:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD,01/06/2023 16:22,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/06/2024 0:00,MOTOR VEHICLE THEFT,APARTMENT,01/06/2023 16:23,DRUG OFFENSE,VEHICLE
01/06/2024 0:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK,01/06/2023 16:30,BURGLARY,FENCED COMMERCIAL YARD
01/06/2024 0:00,BURGLARY,STOREROOM/SHED (RESIDENTIAL),01/06/2023 16:30,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 0:01,BURGLARY,APARTMENT,01/06/2023 16:42,LARCENY-THEFT,ADULT ONLY STORE / MOVIE
01/06/2024 0:01,LARCENY-THEFT,APARTMENT,01/07/2023 8:41,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/06/2024 0:30,LARCENY-THEFT,RESTAURANT,01/07/2023 9:50,LARCENY-THEFT,GROCERY / SUPER MARKET
01/06/2024 0:54,AGGRAVATED ASSAULT,CONVENIENCE MARKET / STORE,01/07/2023 10:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/06/2024 1:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK,01/07/2023 10:00,LARCENY-THEFT,VEHICLE
01/06/2024 1:00,MOTOR VEHICLE THEFT,HOTEL / MOTEL,01/07/2023 10:09,LARCENY-THEFT,SPECIALTY STORE
01/06/2024 1:00,LARCENY-THEFT,APARTMENT,01/07/2023 10:12,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 1:59,ROBBERY,SINGLE FAMILY HOUSE,01/07/2023 10:14,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/06/2024 2:00,ROBBERY,PARKING GARAGE,01/07/2023 10:24,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/06/2024 2:00,MOTOR VEHICLE THEFT,APARTMENT,01/07/2023 10:25,LARCENY-THEFT,RESTAURANT
01/06/2024 2:00,BURGLARY,FAST FOOD STORE,01/07/2023 10:35,AGGRAVATED ASSAULT,APARTMENT
01/06/2024 2:29,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/07/2023 10:42,LARCENY-THEFT,VEHICLE
01/06/2024 2:37,ROBBERY,STREET / ROADWAY / SIDEWALK,01/07/2023 10:45,LARCENY-THEFT,AIRPORT
01/06/2024 3:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/07/2023 10:50,AGGRAVATED ASSAULT,VEHICLE
01/06/2024 3:30,BURGLARY,SPECIALTY STORE,01/07/2023 11:00,LARCENY-THEFT,RENTAL STORAGE / FACILITY
01/06/2024 4:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/07/2023 11:10,ARSON,
01/06/2024 4:00,RAPE,APARTMENT,01/07/2023 11:20,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/06/2024 4:17,MOTOR VEHICLE THEFT,RENTAL STORAGE / FACILITY,01/07/2023 11:30,BURGLARY,SINGLE FAMILY HOUSE
01/06/2024 4:49,LARCENY-THEFT,FENCED RESIDENTIAL YARD,01/07/2023 11:53,AGGRAVATED ASSAULT,PARK / PLAYGROUND
01/06/2024 5:00,MOTOR VEHICLE THEFT,OFFICE / COMMERCIAL BUILDING,01/07/2023 11:57,LARCENY-THEFT,GAS / SERVICE STATION
01/06/2024 20:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/07/2023 12:00,LARCENY-THEFT,GROUP HOME
01/06/2024 20:00,AGGRAVATED ASSAULT,RESTAURANT,01/07/2023 12:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 20:00,LARCENY-THEFT,OTHER,01/07/2023 12:00,MOTOR VEHICLE THEFT,MOBILE HOME
01/06/2024 20:00,MOTOR VEHICLE THEFT,DRIVEWAY,01/07/2023 12:00,LARCENY-THEFT,CONSTRUCTION SITE
01/06/2024 20:00,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/07/2023 12:00,MOTOR VEHICLE THEFT,MOBILE HOME
01/06/2024 20:30,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/07/2023 12:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/06/2024 20:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/07/2023 12:00,LARCENY-THEFT,PARKING LOT
01/06/2024 20:30,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK,01/07/2023 12:00,LARCENY-THEFT,PARKING LOT
01/06/2024 20:40,AGGRAVATED ASSAULT,APARTMENT,01/07/2023 13:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/06/2024 20:55,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/07/2023 13:05,LARCENY-THEFT,SPECIALTY STORE
01/06/2024 20:55,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/07/2023 14:00,BURGLARY,GARAGE
01/06/2024 21:00,LARCENY-THEFT,APARTMENT,01/07/2023 14:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 21:14,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/07/2023 14:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/06/2024 21:37,AGGRAVATED ASSAULT,APARTMENT,01/07/2023 14:00,LARCENY-THEFT,PARKING LOT
01/06/2024 21:45,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/07/2023 14:00,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/06/2024 22:00,LARCENY-THEFT,APARTMENT,01/07/2023 14:00,BURGLARY,SINGLE FAMILY HOUSE
01/06/2024 22:00,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/07/2023 14:05,LARCENY-THEFT,APARTMENT
01/06/2024 22:15,LARCENY-THEFT,DRIVEWAY,01/07/2023 14:30,LARCENY-THEFT,SPECIALTY STORE
01/06/2024 22:30,LARCENY-THEFT,HOTEL / MOTEL,01/07/2023 14:30,LARCENY-THEFT,SPECIALTY STORE
01/06/2024 22:30,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/07/2023 14:33,LARCENY-THEFT,AIRPORT
01/06/2024 22:35,AGGRAVATED ASSAULT,HOTEL / MOTEL,01/07/2023 14:40,LARCENY-THEFT,SPECIALTY STORE
01/06/2024 22:51,LARCENY-THEFT,APARTMENT,01/07/2023 14:52,AGGRAVATED ASSAULT,APARTMENT
01/06/2024 23:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/07/2023 14:52,BURGLARY,APARTMENT
01/06/2024 23:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/07/2023 14:54,LARCENY-THEFT,OTHER
01/06/2024 23:18,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK,01/07/2023 15:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 23:24,ROBBERY,STREET / ROADWAY / SIDEWALK,01/07/2023 15:00,MOTOR VEHICLE THEFT,APARTMENT
01/07/2024 0:00,ROBBERY,RESTAURANT,01/07/2023 15:00,BURGLARY,SINGLE FAMILY HOUSE
01/07/2024 0:00,DRUG OFFENSE,CANAL / RIGHT-OF-WAY,01/07/2023 15:00,MOTOR VEHICLE THEFT,APARTMENT
01/07/2024 0:00,DRUG OFFENSE,VEHICLE,01/07/2023 15:00,MOTOR VEHICLE THEFT,OFFICE / COMMERCIAL BUILDING
01/07/2024 0:00,BURGLARY,RESTAURANT,01/07/2023 15:00,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/07/2024 0:00,DRUG OFFENSE,VEHICLE,01/07/2023 15:00,LARCENY-THEFT,VEHICLE
01/07/2024 0:00,LARCENY-THEFT,VEHICLE,01/07/2023 15:03,LARCENY-THEFT,PARKING LOT
01/07/2024 0:00,LARCENY-THEFT,DRIVEWAY,01/07/2023 15:15,LARCENY-THEFT,OTHER
01/07/2024 0:00,MOTOR VEHICLE THEFT,DRIVEWAY,01/07/2023 15:17,MOTOR VEHICLE THEFT,AUTO DEALERSHIP NEW/USED
